Description,Transaction ID,Type,Card Number,Date,Amount
Electronic Store,10000000,Books,2345 **** **** 6789,2023-04-05,-153.1
Home Improvement,10000001,Electronics,2345 **** **** 6789,2023-11-23,-96.17
Electronic Store,10000002,Fuel,2345 **** **** 6789,2023-01-04,-181.58
Subscription Service,10000003,Books,2345 **** **** 6789,2023-10-27,-159.61
Gas Station,10000004,Electronics,2345 **** **** 6789,2023-12-24,143.46
Gas Station,10000005,Clothing,2345 **** **** 6789,2023-12-17,-181.56
Bookstore,10000006,Entertainment,3456 **** **** 7890,2023-08-07,-66.93
Bookstore,10000007,Bill,3456 **** **** 7890,2023-02-25,68.66
Restaurant,10000008,Entertainment,2345 **** **** 6789,2023-05-29,-91.65
Bookstore,10000009,Bill,2345 **** **** 6789,2023-05-08,144.55
Home Improvement,10000010,Shopping,2345 **** **** 6789,2023-08-30,-66.22
Online Marketplace,10000011,Entertainment,2345 **** **** 6789,2023-06-16,-13.93
Electronic Store,10000012,Home,3456 **** **** 7890,2023-12-27,-100.18
Online Marketplace,10000013,Home,2345 **** **** 6789,2023-03-29,101.59
Utility Bill,10000014,Books,2345 **** **** 6789,2023-07-14,-19.92
Bookstore,10000015,Fuel,3456 **** **** 7890,2023-01-07,9.47
Bookstore,10000016,Subscription,1234 **** **** 5678,2023-03-06,-173.52
Online Marketplace,10000017,Fuel,1234 **** **** 5678,2023-02-15,149.67
Electronic Store,10000018,Home,1234 **** **** 5678,2023-03-03,-118.51
Clothing Retail,10000019,Fuel,2345 **** **** 6789,2023-10-14,198.69
Online Marketplace,10000020,Subscription,2345 **** **** 6789,2023-09-28,-186.19
Utility Bill,10000021,Shopping,2345 **** **** 6789,2023-03-31,148.59
Gas Station,10000022,Books,1234 **** **** 5678,2023-08-15,194.64
Bookstore,10000023,Clothing,3456 **** **** 7890,2023-05-21,-166.91
Utility Bill,10000024,Bill,1234 **** **** 5678,2023-08-20,-175.11
Electronic Store,10000025,Entertainment,2345 **** **** 6789,2023-08-21,187.13
Subscription Service,10000026,Clothing,1234 **** **** 5678,2023-01-14,134.03
Grocery Store,10000027,Electronics,3456 **** **** 7890,2023-06-11,-63.64
Clothing Retail,10000028,Clothing,3456 **** **** 7890,2023-11-16,-43.09
Subscription Service,10000029,Clothing,3456 **** **** 7890,2023-06-08,107.18
Clothing Retail,10000030,Subscription,1234 **** **** 5678,2023-01-02,135.96
Home Improvement,10000031,Home,3456 **** **** 7890,2023-09-12,52.11
Utility Bill,10000032,Entertainment,3456 **** **** 7890,2023-02-23,118.19
Grocery Store,10000033,Books,1234 **** **** 5678,2023-10-12,-32.16
Gas Station,10000034,Home,2345 **** **** 6789,2023-10-15,94.04
Online Marketplace,10000035,Books,2345 **** **** 6789,2023-03-08,-12.01
Bookstore,10000036,Electronics,2345 **** **** 6789,2023-05-16,163.26
Grocery Store,10000037,Books,3456 **** **** 7890,2023-04-10,73.0
Grocery Store,10000038,Clothing,3456 **** **** 7890,2023-07-07,181.28
Gas Station,10000039,Subscription,2345 **** **** 6789,2023-08-30,25.46
Home Improvement,10000040,Home,2345 **** **** 6789,2023-08-16,-190.59
Gas Station,10000041,Clothing,2345 **** **** 6789,2023-09-22,106.86
Electronic Store,10000042,Entertainment,1234 **** **** 5678,2023-05-24,-142.28
Clothing Retail,10000043,Electronics,1234 **** **** 5678,2023-05-28,40.45
Bookstore,10000044,Shopping,1234 **** **** 5678,2023-10-19,-93.46
Home Improvement,10000045,Electronics,2345 **** **** 6789,2023-08-13,158.65
Clothing Retail,10000046,Home,1234 **** **** 5678,2023-04-08,-192.88
Grocery Store,10000047,Entertainment,1234 **** **** 5678,2023-05-21,-149.54
Gas Station,10000048,Subscription,1234 **** **** 5678,2023-04-29,-91.39
Subscription Service,10000049,Subscription,2345 **** **** 6789,2023-10-01,190.32
Restaurant,10000050,Home,1234 **** **** 5678,2023-03-01,105.88
Utility Bill,10000051,Subscription,2345 **** **** 6789,2023-05-10,77.84
Home Improvement,10000052,Fuel,1234 **** **** 5678,2023-04-02,161.9
Subscription Service,10000053,Shopping,1234 **** **** 5678,2023-03-26,1.18
Clothing Retail,10000054,Subscription,3456 **** **** 7890,2023-06-02,132.29
Subscription Service,10000055,Clothing,1234 **** **** 5678,2023-10-21,-94.66
Clothing Retail,10000056,Home,3456 **** **** 7890,2023-04-06,-151.62
Online Marketplace,10000057,Clothing,2345 **** **** 6789,2023-12-31,-70.84
Grocery Store,10000058,Bill,3456 **** **** 7890,2023-02-11,-59.61
Gas Station,10000059,Electronics,3456 **** **** 7890,2023-09-01,-75.62
Restaurant,10000060,Fuel,1234 **** **** 5678,2023-06-10,14.83
Subscription Service,10000061,Entertainment,1234 **** **** 5678,2023-06-27,-44.56
Clothing Retail,10000062,Entertainment,1234 **** **** 5678,2023-09-29,-77.72
Grocery Store,10000063,Fuel,1234 **** **** 5678,2023-08-18,56.87
Bookstore,10000064,Books,1234 **** **** 5678,2023-12-27,99.35
Restaurant,10000065,Shopping,2345 **** **** 6789,2023-04-22,114.16
Online Marketplace,10000066,Home,3456 **** **** 7890,2023-03-11,163.89
Online Marketplace,10000067,Electronics,2345 **** **** 6789,2023-11-30,-136.91
Bookstore,10000068,Electronics,1234 **** **** 5678,2023-05-11,-153.83
Electronic Store,10000069,Clothing,1234 **** **** 5678,2023-11-05,-140.79
Utility Bill,10000070,Subscription,2345 **** **** 6789,2023-10-30,15.68
